"No.","Time","Source","Destination","Protocol","Length","Info"
"5104","43.555350","2404:6800:4009:803::200a","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1294","[TCP Previous segment not captured] 443  >  13301 [PSH, ACK] Seq=3661 Ack=1838 Win=267520 Len=1220 [TCP PDU reassembled in 5106]"
"5228","44.498080","2404:6800:4009:828::2003","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"5417","46.019757","64:ff9b::73f0:c204","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13304 [ACK] Seq=2837 Ack=3503 Win=74080 Len=1340"
"5418","46.019757","64:ff9b::73f0:c204","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Application Data"
"5423","46.020304","64:ff9b::73f0:c204","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Fast Retransmission] 443  >  13304 [ACK] Seq=157 Ack=3503 Win=74080 Len=1340"
"5424","46.020304","64:ff9b::73f0:c204","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","131","[TCP Fast Retransmission] 443  >  13304 [PSH, ACK] Seq=4177 Ack=3503 Win=74080 Len=57"
"5427","46.020527","64:ff9b::73f0:c204","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"5497","47.898890","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","74","[TCP Previous segment not captured] 443  >  13296 [FIN, ACK] Seq=36903 Ack=5025 Win=76992 Len=0"
"5554","48.666584","142.250.192.35","192.168.254.198","TLSv1.2","178","[TCP Previous segment not captured] , Ignored Unknown Record"
"5593","49.186576","2404:6800:4009:830::2001","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1294","[TCP Previous segment not captured] 443  >  13307 [PSH, ACK] Seq=8541 Ack=1832 Win=267520 Len=1220 [TCP PDU reassembled in 5597]"
"5694","50.582341","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","318","[TCP Previous segment not captured] , Ignored Unknown Record"
"5771","51.119031","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","710","[TCP Previous segment not captured] , Application Data"
"5933","51.586544","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"5959","51.635490","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"5967","51.670713","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"5971","51.670871","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"6473","52.336468","2404:6800:4009:82b::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1294","[TCP Previous segment not captured] , Application Data"
"6482","52.354854","2404:6800:4009:82b::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1294","[TCP Previous segment not captured] , Application Data"
"6485","52.355133","2404:6800:4009:82b::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1294","[TCP Previous segment not captured] , Application Data"
"6847","53.141591","2404:6800:4009:802::2003","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","320","[TCP Previous segment not captured] , Ignored Unknown Record"
"7293","53.550759","64:ff9b::305:1967","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1374","[TCP Previous segment not captured] , Continuation Data"
"7312","53.585508","64:ff9b::305:1967","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","132","[TCP Spurious Retransmission] 443  >  13311 [PSH, ACK] Seq=5468 Ack=1745 Win=57344 Len=58"
"7342","53.802602","64:ff9b::305:1967","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","254","[TCP Spurious Retransmission] 443  >  13311 [PSH, ACK] Seq=1 Ack=1745 Win=57344 Len=180"
"7350","53.832016","64:ff9b::305:1967","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1175","[TCP Spurious Retransmission] 443  >  13311 [PSH, ACK] Seq=4081 Ack=1745 Win=57344 Len=1101"
"7351","53.832016","64:ff9b::305:1967","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1374","[TCP Spurious Retransmission] 443  >  13311 [ACK] Seq=2781 Ack=1745 Win=57344 Len=1300"
"7355","53.832268","64:ff9b::305:1967","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1374","[TCP Spurious Retransmission] 443  >  13311 [ACK] Seq=181 Ack=1745 Win=57344 Len=1300"
"7356","53.832268","64:ff9b::305:1967","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1374","[TCP Spurious Retransmission] 443  >  13311 [ACK] Seq=181 Ack=1745 Win=57344 Len=1300"
"7363","53.832492","64:ff9b::22e9:1ec4","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1414","[TCP Previous segment not captured] , Continuation Data"
"7369","53.832798","64:ff9b::22e9:1ec4","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1414","[TCP Previous segment not captured] , Continuation Data"
"7496","55.577634","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","267","[TCP Previous segment not captured] , Ignored Unknown Record"
"7505","55.619893","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","269","[TCP Previous segment not captured] , Ignored Unknown Record"
"9553","58.988758","34.233.30.196","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  13285 [SYN, ACK] Seq=0 Ack=1 Win=62727 Len=0 MSS=1340 SACK_PERM WS=128"
"9647","59.192291","2404:6800:4009:81f::2008","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"9649","59.192291","2404:6800:4009:81f::2008","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"9752","59.371621","2404:6800:4009:81f::2008","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"9823","59.469395","2404:6800:4009:81f::2008","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"9870","59.517665","2404:6800:4009:81f::2008","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"9889","59.549363","2404:6800:4009:81f::2008","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"9892","59.549552","2404:6800:4009:81f::2008","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"9907","59.550218","2404:6800:4009:81f::2008","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"9914","59.565965","2404:6800:4009:81f::2008","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1294","[TCP Previous segment not captured] 443  >  13317 [PSH, ACK] Seq=90599 Ack=2426 Win=267520 Len=1220"
"9935","59.581317","2404:6800:4009:81f::2008","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"9939","59.581685","2404:6800:4009:81f::2008","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"9973","59.620802","2404:6800:4009:81f::2008","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"10014","59.691344","2404:6800:4009:81f::2008","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1294","[TCP Spurious Retransmission] 443  >  13317 [ACK] Seq=89379 Ack=2426 Win=267520 Len=1220"
"10643","60.872314","2404:6800:4009:82b::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"10649","60.872547","2404:6800:4009:82b::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"10883","61.190676","2404:6800:4009:831::2003","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1294","[TCP Previous segment not captured] , Continuation Data"
"13873","65.661576","2404:6800:4009:830::2001","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"13877","65.661752","2404:6800:4009:830::2001","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1294","[TCP Previous segment not captured] 443  >  13322 [PSH, ACK] Seq=8541 Ack=1769 Win=267776 Len=1220 [TCP PDU reassembled in 13882]"
"13884","65.678300","2404:6800:4009:830::2001","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1294","[TCP Previous segment not captured] 443  >  13321 [PSH, ACK] Seq=8541 Ack=1833 Win=267520 Len=1220"
"14019","67.422493","2404:6800:4009:82e::200a","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1294","[TCP Previous segment not captured] 443  >  13323 [PSH, ACK] Seq=3661 Ack=1806 Win=267520 Len=1220 [TCP PDU reassembled in 14026]"
"14180","67.907612","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13315 [ACK] Seq=4370 Ack=4769 Win=76800 Len=1340 [TCP PDU reassembled in 14186]"
"14186","67.907941","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Fast Retransmission] , Application Data"
"14188","67.907941","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13315 [PSH, ACK] Seq=9787 Ack=4769 Win=76800 Len=1340 [TCP PDU reassembled in 14191]"
"14212","68.020866","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13315 [PSH, ACK] Seq=17827 Ack=4769 Win=76800 Len=1340 [TCP PDU reassembled in 14214]"
"14215","68.021118","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13315 [PSH, ACK] Seq=20507 Ack=4769 Win=76800 Len=1340 [TCP PDU reassembled in 14219]"
"14236","68.143691","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13315 [PSH, ACK] Seq=49987 Ack=4769 Win=76800 Len=1340 [TCP PDU reassembled in 14240]"
"14239","68.143921","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"14254","68.158065","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"14267","68.259364","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"14292","68.275922","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","4094","[TCP Previous segment not captured] , Ignored Unknown Record"
"14299","68.276135","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"14302","68.276351","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Fast Retransmission] , Ignored Unknown Record"
"14313","68.276811","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","679","[TCP Previous segment not captured] 443  >  13315 [PSH, ACK] Seq=167907 Ack=4769 Win=76800 Len=605 [TCP PDU reassembled in 14825]"
"14316","68.276957","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Fast Retransmission] 443  >  13315 [ACK] Seq=166567 Ack=4769 Win=76800 Len=1340 [TCP PDU reassembled in 14825]"
"14320","68.392822","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Retransmission] 443  >  13315 [ACK] Seq=127707 Ack=4769 Win=76800 Len=1340"
"14322","68.492334","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Retransmission] 443  >  13315 [PSH, ACK] Seq=130387 Ack=4769 Win=76800 Len=1340"
"14323","68.492334","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Retransmission] 443  >  13315 [ACK] Seq=129047 Ack=4769 Win=76800 Len=1340"
"14338","69.007264","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13314 [ACK] Seq=5776 Ack=4803 Win=76800 Len=1340 [TCP PDU reassembled in 14367]"
"14343","69.007683","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","131","[TCP Fast Retransmission] 443  >  13314 [PSH, ACK] Seq=5719 Ack=4803 Win=76800 Len=57"
"14344","69.007683","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Fast Retransmission] 443  >  13314 [PSH, ACK] Seq=3039 Ack=4803 Win=76800 Len=1340"
"14345","69.007683","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Fast Retransmission] 443  >  13314 [ACK] Seq=1699 Ack=4803 Win=76800 Len=1340"
"14349","69.007902","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13316 [ACK] Seq=4372 Ack=4810 Win=76800 Len=1340 [TCP PDU reassembled in 14361]"
"14350","69.007902","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13316 [ACK] Seq=5769 Ack=4810 Win=76800 Len=1340 [TCP PDU reassembled in 14363]"
"14351","69.007902","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13316 [PSH, ACK] Seq=12469 Ack=4810 Win=76800 Len=1340"
"14355","69.008144","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Fast Retransmission] 443  >  13316 [PSH, ACK] Seq=3032 Ack=4810 Win=76800 Len=1340 [TCP PDU reassembled in 14361]"
"14361","69.008607","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","131","[TCP Fast Retransmission] , Application Data"
"14362","69.008607","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Fast Retransmission] 443  >  13316 [PSH, ACK] Seq=9789 Ack=4810 Win=76800 Len=1340"
"14363","69.008607","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Fast Retransmission] , Application Data"
"14379","69.148294","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"14383","69.148502","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"14410","69.268559","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"14420","69.269187","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","388","[TCP Previous segment not captured] , Ignored Unknown Record"
"14430","69.269702","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"14439","69.275942","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"14452","69.280817","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"14818","70.384317","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","259","[TCP Previous segment not captured] , Ignored Unknown Record"
"14839","70.385401","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13316 [ACK] Seq=94148 Ack=7596 Win=82624 Len=1340 [TCP PDU reassembled in 14841]"
"14863","70.395134","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13316 [PSH, ACK] Seq=107605 Ack=7596 Win=82624 Len=1340 [TCP PDU reassembled in 14865]"
"15528","76.834378","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13314 [ACK] Seq=46532 Ack=7563 Win=82624 Len=1340 [TCP PDU reassembled in 15534]"
"15540","76.834951","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"15544","76.835070","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","131","[TCP Previous segment not captured] , Ignored Unknown Record"
"15557","76.929375","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13315 [PSH, ACK] Seq=185898 Ack=7553 Win=82432 Len=1340 [TCP PDU reassembled in 15558], Application Data"
"15572","76.943130","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13314 [PSH, ACK] Seq=58592 Ack=7563 Win=82624 Len=1340 [TCP PDU reassembled in 15587]"
"15579","76.943660","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13315 [PSH, ACK] Seq=207338 Ack=7553 Win=82432 Len=1340 [TCP PDU reassembled in 15583]"
"15604","77.031110","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"15625","77.062850","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"15636","77.128148","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"15650","77.145663","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"15676","77.179571","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"15701","77.260631","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"15711","77.264118","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"15746","77.297493","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"15754","77.312644","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"15765","77.360225","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"15774","77.368035","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","451","[TCP Previous segment not captured] , Ignored Unknown Record"
"15786","77.648529","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","131","[TCP Previous segment not captured] 443  >  13315 [PSH, ACK] Seq=473035 Ack=8967 Win=85344 Len=57 [TCP PDU reassembled in 15792]"
"15793","77.648754","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"15817","77.650538","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","762","[TCP Previous segment not captured] , Ignored Unknown Record"
